county_name,reg_voters,lowdem,uncertain,persuasion,highdem,census_block_group_2010
,2,0,0,0,0,483499710001
,1,0,0,0,0,483539505004
,1,0,0,0,0,483550029001
,2,0,0,0,0,483550054132
,1,0,0,0,0,483550056024
,0,0,0,0,0,483599501002
,2,0,0,0,0,483610220002
,7,0,0,0,0,483732101013
,2,0,0,0,0,483732102043
,1,0,0,0,0,483732103011
,1,0,0,0,0,483732105002
,0,0,0,0,0,483750141001
,1,0,0,0,0,483810206003
,1,0,0,0,0,483810217021
,0,0,0,0,0,483970403025
,1,0,0,0,0,483970404012
,1,0,0,0,0,483970405062
,0,0,0,0,0,484019501001
,0,0,0,0,0,484019504003
,0,0,0,0,0,484019505021
,1,0,0,0,0,484019506001
,1,0,0,0,0,484019509004
,1,0,0,0,0,484039501001
,1,0,0,0,0,484039503004
,5,0,0,0,0,484090103013
,1,0,0,0,0,484090106031
,1,0,0,0,0,484199501001
,1,0,0,0,0,484199504005
,1,0,0,0,0,484230001001
,2,0,0,0,0,484230011021
,1,0,0,0,0,484230016041
,1,0,0,0,0,484230018013
,1,0,0,0,0,484230018015
,1,0,0,0,0,484230018023
,1,0,0,0,0,484230018033
,1,0,0,0,0,484230019061
,0,0,0,0,0,484391003001
,0,0,0,0,0,484391009001
,1,0,0,0,0,484391052053
,1,0,0,0,0,484391135132
,1,0,0,0,0,484391135201
,2,0,0,0,0,484391138131
,1,0,0,0,0,484391139216
,1,0,0,0,0,484391139221
,1,0,0,0,0,484391141021
,1,0,0,0,0,484410101001
,1,0,0,0,0,484410109002
,0,0,0,0,0,484499503003
,2,0,0,0,0,484510016003
,2,0,0,0,0,484530004011
,0,0,0,0,0,484530017503
,2,0,0,0,0,484530018131
,2,0,0,0,0,484530018321
,2,0,0,0,0,484530019193
,1,0,0,0,0,484530022091
,0,0,0,0,0,484530023082
,1,0,0,0,0,484559502002
,1,0,0,0,0,484559504002
,2,0,0,0,0,484579503002
,2,0,0,0,0,484599501003
,0,0,0,0,0,484599505003
,0,0,0,0,0,484639502002
,1,0,0,0,0,484639502003
,1,0,0,0,0,484639503004
,1,0,0,0,0,484679505002
,1,0,0,0,0,484690015011
,0,0,0,0,0,484717907003
,1,0,0,0,0,484736805004
,0,0,0,0,0,484817406002
,5,0,0,0,0,484850120003
,2,0,0,0,0,484850134013
,0,0,0,0,0,484899507001
,1,0,0,0,0,484910203013
,1,0,0,0,0,484971506011
,0,0,0,0,0,484999504001
,1,0,0,0,0,484999506011
,0,0,0,0,0,485019501001
Anderson,832,0,0,0,0,
Anderson,1224,42,29,9,59,480019501001
Anderson,1597,39,43,8,72,480019501002
Anderson,1215,22,17,9,59,480019501003
Anderson,130,9,4,0,1,480019504011
Anderson,326,21,12,3,19,480019504021
Anderson,581,37,20,4,30,480019505001
Anderson,401,99,34,1,48,480019505002
Anderson,1363,171,80,7,93,480019505003
Anderson,886,79,35,5,56,480019505004
Anderson,1256,216,63,15,144,480019506001
Anderson,1358,56,46,11,78,480019506002
Anderson,1520,226,56,19,185,480019506003
Anderson,1144,47,49,13,49,480019506004
Anderson,756,120,46,3,89,480019507001
Anderson,600,143,37,4,74,480019507002
Anderson,740,136,43,9,82,480019507003
Anderson,1175,87,46,14,63,480019508001
Anderson,1133,73,39,10,49,480019508002
Anderson,947,36,39,7,57,480019508003
Anderson,771,52,23,6,45,480019508004
Anderson,838,23,14,7,48,480019508005
Anderson,846,24,26,7,46,480019509011
Anderson,505,12,16,0,26,480019509012
Anderson,347,14,8,2,18,480019509013
Anderson,1490,47,32,8,40,480019509014
Anderson,786,13,7,8,36,480019509021
Anderson,1093,47,29,10,40,480019509022
Anderson,1007,29,14,5,63,480019509023
Anderson,4375,178,115,35,250,480019509024
Anderson,1259,14,14,11,43,480019510001
Anderson,1817,39,26,10,41,480019510002
Anderson,609,16,16,5,18,480019510003
Anderson,1138,19,15,12,38,480019510004
Anderson,573,29,19,3,30,480019510005
Anderson,750,23,19,4,33,480019510006
Anderson,1540,33,11,12,50,480019511001
Anderson,684,28,30,7,32,480019511002
Anderson,818,32,15,7,52,480019511003
Anderson,627,24,17,7,53,480019511004
Anderson,1,0,0,0,0,480739504002
Anderson,2,0,0,0,0,482139503001
Anderson,13,0,0,0,0,482139503003
Anderson,2,0,0,0,0,482139504001
Anderson,2,0,0,0,0,482139510001
Anderson,1,0,0,0,0,482139511001
Anderson,5,0,0,0,0,482139512005
Anderson,17,0,0,0,0,482139513002
Anderson,2,0,0,0,0,482139514002
Anderson,171,6,1,0,4,482139514003
Anderson,28,0,0,0,0,482139514004
Anderson,42,0,0,0,0,482259501001
Anderson,3,0,0,0,0,482259501002
Anderson,1,0,0,0,0,482259501003
Anderson,1,0,0,0,0,482259501004
Anderson,1,0,0,0,0,484999506011
Andrews,32,0,2,0,0,
Andrews,1829,52,65,10,31,480039501001
Andrews,1316,61,65,8,48,480039502001
Andrews,767,46,48,8,22,480039502002
Andrews,1289,61,61,20,27,480039502003
Andrews,760,28,27,9,18,480039502004
Andrews,1014,25,25,7,28,480039502005
Andrews,694,39,28,7,19,480039502006
Andrews,1399,131,87,13,30,480039503001
Andrews,1218,74,70,10,34,480039503002
Andrews,629,37,52,9,10,480039503003
Andrews,2401,116,98,20,52,480039504001
Angelina,421,3,1,0,0,
Angelina,2739,69,53,19,111,480050001011
Angelina,1195,26,21,12,63,480050001012
Angelina,1193,73,34,7,60,480050001013
Angelina,2993,89,59,26,138,480050001021
Angelina,948,32,16,11,31,480050001022
Angelina,1499,147,85,17,118,480050002001
Angelina,1867,72,52,15,61,480050002002
Angelina,1776,73,48,17,106,480050002003
Angelina,1708,160,62,15,157,480050003011
Angelina,1180,39,29,6,58,480050003012
Angelina,1802,78,42,16,80,480050003013
Angelina,1909,159,75,19,105,480050003021
Angelina,2369,74,46,24,116,480050003022
Angelina,559,178,27,4,64,480050004001
Angelina,1895,305,93,12,141,480050004002
Angelina,1237,189,94,15,94,480050004003
Angelina,865,224,37,9,93,480050004004
Angelina,826,263,6,6,202,480050005001
Angelina,1311,385,54,9,172,480050005002
Angelina,913,323,13,5,163,480050005003
Angelina,515,188,17,7,64,480050005004
Angelina,1089,274,71,18,170,480050006001
Angelina,875,370,29,10,111,480050006002
Angelina,905,232,62,14,93,480050006003
Angelina,1052,316,45,7,128,480050006004
Angelina,756,138,35,13,86,480050007001
Angelina,577,156,37,6,51,480050007002
Angelina,674,282,33,8,72,480050007003
Angelina,2434,106,66,21,179,480050008001
Angelina,1334,96,76,10,123,480050008002
Angelina,1058,142,45,11,89,480050008003
Angelina,655,142,40,5,95,480050008004
Angelina,2046,119,73,29,206,480050009011
Angelina,1501,99,39,15,139,480050009012
Angelina,1599,179,75,16,124,480050009013
Angelina,1099,72,45,14,91,480050009014
Angelina,2737,143,75,38,221,480050009021
Angelina,685,65,28,8,37,480050009022
Angelina,1271,60,50,11,77,480050010011
Angelina,1198,205,127,14,118,480050010012
Angelina,706,257,60,12,89,480050010013
Angelina,2385,77,58,22,107,480050010021
Angelina,1085,163,86,10,94,480050010022
Angelina,2207,50,34,20,68,480050011001
Angelina,2729,67,40,24,121,480050011002
Angelina,706,28,18,6,30,480050011003
Angelina,1450,66,47,12,61,480050012001
Angelina,747,25,8,6,28,480050012002
Angelina,712,23,13,7,38,480050012003
Angelina,1622,55,24,10,60,480050013001
Angelina,2097,51,20,22,56,480050013002
Angelina,1194,17,14,12,44,480050013003
Angelina,0,0,0,0,0,480739509001
Angelina,1,0,0,0,0,482959502001
Angelina,1,0,0,0,0,484410135003
Aransas,187,0,1,0,1,
Aransas,1629,46,29,17,107,480079501001
Aransas,1610,49,23,19,102,480079501002
Aransas,2036,85,46,24,123,480079501003
Aransas,445,17,9,7,25,480079501004
Aransas,1514,57,41,12,114,480079501005
Aransas,442,3,2,7,15,480079502001
Aransas,1048,20,36,13,51,480079502002
Aransas,3171,83,64,36,222,480079503001
Aransas,1376,40,36,19,85,480079503002
Aransas,1738,110,88,18,96,480079503003
Aransas,911,88,61,14,44,480079503004
Aransas,1391,95,65,17,95,480079504001
Aransas,933,73,69,14,41,480079504002
Aransas,1297,60,60,10,79,480079504003
Aransas,2543,136,92,30,95,480079505001
Aransas,1002,41,37,11,29,480079505002
Aransas,736,63,32,9,20,480079505003
Aransas,2323,106,75,39,119,480079505004
Aransas,0,0,0,0,0,483919504001
Aransas,13,2,0,0,0,483919504002
Aransas,4,0,0,0,0,484090102012
Aransas,29,0,2,0,0,484090102021
Aransas,64,7,1,1,5,484090102022
Aransas,3,0,0,0,0,484090103013
Aransas,17,1,1,0,2,484090107001
Aransas,1,0,0,0,0,484090108002
Archer,90,0,0,0,0,
Archer,1529,17,13,13,69,480090201001
Archer,1282,25,7,4,43,480090201002
Archer,934,16,23,6,27,480090202001
Archer,821,15,17,4,19,480090202002
Archer,796,18,9,2,12,480090202003
Archer,1008,20,17,6,18,480090203001
Archer,612,12,14,7,8,480090203002
Archer,659,7,9,5,12,480090203003
Archer,909,22,23,1,20,480090203004
Archer,134,1,5,0,0,480770303022
Archer,1,0,0,0,0,480770303023
Archer,9,0,0,0,1,482379501001
Archer,1,0,0,0,0,484850115003
Archer,5,0,0,0,0,484850116002
Archer,1,0,0,0,0,484850120003
Archer,14,0,0,0,1,484850123003
Archer,9,0,0,1,0,484850124002
Archer,18,0,0,0,0,484850124004
Archer,33,0,0,0,0,484850126003
Archer,24,1,0,0,0,484850128004
Archer,1,0,0,0,0,484850134011
Archer,3,0,0,0,0,484850137002
Archer,7,0,0,0,0,484850138002
Archer,20,1,0,0,0,485039502001
Archer,7,0,1,0,0,485039502002
Archer,3,0,0,0,0,485039502003
Archer,9,1,1,0,0,485039502004
Armstrong,15,0,0,0,0,
Armstrong,647,5,3,3,4,480119501001
Armstrong,718,6,5,5,6,480119501002
Armstrong,681,6,6,4,9,480119501003
Armstrong,2,0,0,0,0,481299502002
Armstrong,15,0,0,0,0,481299503001
Armstrong,6,0,0,0,0,483750154001
Armstrong,3,0,0,0,1,483810211013
Armstrong,44,0,0,0,0,483810219003
Atascosa,496,0,1,0,0,
Atascosa,1936,333,202,39,214,480139601001
Atascosa,2566,242,180,39,202,480139601002
Atascosa,1464,371,161,18,149,480139601003
Atascosa,788,53,32,13,71,480139601004
Atascosa,849,127,69,11,89,480139602011
Atascosa,1245,202,142,21,132,480139602012
Atascosa,2827,376,282,48,311,480139602013
Atascosa,2323,525,307,54,212,480139602021
Atascosa,2218,399,251,34,271,480139602022
Atascosa,1068,176,77,28,114,480139602023
Atascosa,1643,373,228,25,175,480139602024
Atascosa,1336,421,121,17,217,480139603001
Atascosa,1298,443,116,19,232,480139603002
Atascosa,1088,254,129,20,95,480139604011
Atascosa,528,98,62,7,35,480139604021
Atascosa,2836,91,77,48,229,480139604022
Atascosa,707,75,57,5,53,480139604023
Atascosa,978,180,114,15,95,480139604024
Atascosa,2341,162,137,31,173,480139604025
Atascosa,1451,359,148,18,217,480139605001
Atascosa,682,103,68,8,137,480139605002
Atascosa,2064,238,175,22,217,480139606001
Atascosa,1273,89,69,21,109,480139606002
Atascosa,1293,94,91,19,132,480139606003
Atascosa,770,106,52,6,82,480139606004
Atascosa,1,0,0,0,0,480291219072
Atascosa,2,0,0,0,0,480291219082
Atascosa,4,1,0,0,0,480291521003
Atascosa,5,2,0,0,0,480291521004
Atascosa,6,0,1,0,0,480291522011
Atascosa,5,0,0,0,0,480291522012
Atascosa,153,40,18,2,12,480291619022
Atascosa,19,4,1,0,0,480291620011
Atascosa,19,4,1,0,4,480291620031
Atascosa,19,4,2,0,3,480291620033
Atascosa,13,4,1,1,1,480291620041
Atascosa,3,2,0,0,0,480291620042
Atascosa,3,0,0,0,0,480291918041
Atascosa,3,0,0,0,1,480291918141
Atascosa,4,0,0,0,0,481410013025
Atascosa,0,0,0,0,0,481410102181
Atascosa,17,0,0,0,4,481639501001
Atascosa,0,0,0,0,0,482559701002
Atascosa,1,0,0,0,0,482559702001
Atascosa,2,0,0,0,0,482559702004
Atascosa,1,0,0,0,0,482839503003
Atascosa,1,0,0,0,0,482979501001
Atascosa,7,1,0,0,0,482979501002
Atascosa,0,0,0,0,0,483250001012
Atascosa,15,2,3,1,1,483250004012
Atascosa,0,0,0,0,0,483250004021
Atascosa,58,7,4,1,8,483250004022
Atascosa,2,0,0,0,0,484930002011
Atascosa,13,2,1,0,0,484930002022
Atascosa,6,0,0,0,0,484930003001
Atascosa,7,0,0,0,0,484930006001
Austin,91,0,0,0,0,
Austin,1103,86,44,23,63,480157601001
Austin,1071,79,49,14,69,480157601002
Austin,1100,171,71,14,97,480157602001
Austin,2010,72,73,23,88,480157602002
Austin,936,90,33,10,96,480157602003
Austin,1173,180,136,21,81,480157602004
Austin,1440,62,41,20,68,480157603001
Austin,1280,103,105,17,73,480157603002
Austin,2561,144,96,21,89,480157603003
Austin,1151,65,42,23,54,480157603004
Austin,1437,28,22,11,71,480157604001
Austin,1003,14,21,12,50,480157604002
Austin,1051,35,22,6,74,480157604003
Austin,1175,31,19,18,72,480157605011
Austin,2545,51,36,26,97,480157605012
Austin,733,32,17,8,25,480157605013
Austin,1541,49,35,11,62,480157605021
Austin,748,62,36,9,53,480157605022
Austin,1122,56,36,12,62,480157605023
Austin,1261,72,38,13,89,480157605024
Austin,14,0,0,0,0,480897504002
Austin,10,1,1,0,0,480897504003
Austin,1,0,0,0,1,481499701001
Austin,2,0,0,0,0,481499707002
Austin,1,0,0,0,0,481576733001
Austin,29,1,2,1,0,481576758001
Austin,5,0,1,0,0,481576758002
Austin,2,0,0,0,0,484771702004
Austin,3,0,0,0,0,484771704001
Austin,8,0,0,0,0,484771704004
Austin,8,0,0,0,0,484771705004
Austin,1,0,0,0,0,484771705006
Austin,3,0,0,0,0,484771706003
Austin,5,0,0,0,1,484771706004
Bailey,25,4,0,0,0,
Bailey,1015,88,76,5,34,480179501001
Bailey,1831,116,82,10,66,480179501002
Bailey,603,84,85,5,32,480179501003
Bailey,505,119,87,3,23,480179501004
Bailey,499,24,23,3,9,480179501005
Bailey,570,31,26,0,21,480179501006
Bailey,2,0,0,0,0,480799501001
Bailey,3,0,0,0,0,480799501003
Bailey,1,0,0,0,0,481179505003
Bailey,6,0,1,0,0,482799502001
Bailey,4,0,0,0,0,482799503001
Bailey,16,0,0,0,0,482799503002
Bailey,1,0,0,0,0,483699502003
Bailey,22,1,1,0,0,483699503001
Bailey,4,0,0,0,0,483699503005
Bailey,0,0,0,0,0,484530017641
Bandera,176,0,0,0,0,
Bandera,3797,98,72,44,267,480190001011
Bandera,1461,60,43,9,75,480190001012
Bandera,1908,58,37,15,111,480190001021
Bandera,2397,50,43,27,115,480190001022
Bandera,1423,48,17,21,93,480190001023
Bandera,2065,50,19,17,76,480190002001
Bandera,986,24,21,12,98,480190002002
Bandera,2167,76,35,20,162,480190003001
Bandera,3061,83,53,43,240,480190003002
Bandera,1286,52,27,9,72,480190003003
Bandera,1290,59,26,22,134,480190004001
Bandera,909,29,28,8,61,480190004002
Bandera,7,0,0,1,1,480291821061
Bandera,2,0,0,0,0,482659601002
Bandera,2,0,0,0,0,482659603011
Bandera,8,2,1,0,2,482659603012
Bandera,10,1,0,0,0,482659608002
Bandera,1,0,0,0,1,482659608003
Bandera,6,0,0,1,0,483250001023
Bandera,2,0,0,1,0,483250003001
Bandera,8,1,0,0,0,483250003003
Bandera,6,0,0,0,0,484639501001
Bastrop,148,0,0,0,0,
Bastrop,1520,176,75,35,210,480219501001
Bastrop,1684,106,72,20,257,480219501002
Bastrop,1403,171,82,20,268,480219501003
Bastrop,1815,132,70,43,280,480219501004
Bastrop,936,72,28,20,137,480219501005
Bastrop,1428,171,66,40,259,480219502001
Bastrop,2094,349,129,68,414,480219502002
Bastrop,1248,344,74,46,225,480219502003
Bastrop,887,249,52,16,182,480219502004
Bastrop,940,194,40,25,214,480219502005
Bastrop,1541,208,95,22,228,480219503001
Bastrop,4572,300,162,53,811,480219503002
Bastrop,2230,267,119,36,359,480219503003
Bastrop,1435,158,76,21,226,480219503004
Bastrop,3423,289,157,43,446,480219503005
Bastrop,1750,307,108,31,285,480219504001
Bastrop,2226,195,77,37,378,480219504002
Bastrop,1212,89,50,12,248,480219504003
Bastrop,1719,149,87,30,247,480219504004
Bastrop,2770,136,88,42,465,480219504005
Bastrop,2752,440,174,52,327,480219505011
Bastrop,1333,195,62,24,173,480219505012
Bastrop,1043,222,52,14,146,480219505013
Bastrop,3686,202,137,49,433,480219505021
Bastrop,1929,127,61,28,253,480219505022
Bastrop,1300,74,46,17,178,480219505023
Bastrop,2042,141,71,22,271,480219506001
Bastrop,1115,59,28,13,118,480219506002
Bastrop,2249,83,77,21,300,480219506003
Bastrop,966,41,38,18,141,480219507001
Bastrop,982,57,29,15,158,480219507002
Bastrop,875,62,41,11,114,480219507003
Bastrop,1529,246,89,22,215,480219507004
Bastrop,1419,323,85,25,255,480219508011
Bastrop,1484,156,79,26,242,480219508012
Bastrop,1151,471,67,16,171,480219508013
Bastrop,2136,559,147,27,355,480219508021
Bastrop,916,195,59,10,143,480219508022
Bastrop,1234,69,42,19,150,480219508023
Bastrop,10,4,0,0,3,480559601012
Bastrop,11,5,1,0,2,480559601013
Bastrop,4,0,0,0,1,480559601021
Bastrop,3,0,0,0,0,480559606002
Bastrop,18,3,1,0,2,481499702003
Bastrop,7,0,0,0,0,481499703001
Bastrop,2,0,0,0,0,481499704002
Bastrop,3,0,0,0,0,481499705001
Bastrop,6,1,0,0,0,481499705002
Bastrop,1,0,0,0,0,481770001002
Bastrop,6,0,0,0,0,482870003002
Bastrop,205,67,10,4,18,484530018541
Bastrop,2,0,0,0,2,484530022071
Bastrop,14,3,1,0,4,484530022092
Bastrop,1,0,0,0,0,484530022093
Bastrop,42,8,1,1,14,484530022101
Bastrop,5,0,0,0,2,484530022102
Bastrop,4,3,0,0,1,484530023101
Bastrop,12,1,0,0,2,484530024331
Bastrop,6,0,0,0,0,484530024332
Bastrop,7,4,0,0,0,484530024351
Bastrop,5,3,0,0,0,484530024361
Bastrop,14,0,0,0,1,484910209004
Baylor,11,0,1,0,0,
Baylor,3,0,0,0,0,480090202001
Baylor,565,15,12,10,15,480239503001
Baylor,576,19,14,5,23,480239503002
Baylor,1089,23,37,11,24,480239503003
Baylor,817,21,31,8,20,480239503004
Baylor,670,29,20,8,12,480239503005
Baylor,0,0,0,0,0,481210217352
Baylor,8,0,0,1,0,482759501002
Baylor,1,0,0,0,0,484850137002
Baylor,1,0,0,0,0,485039502001
Bee,158,0,0,0,0,
Bee,43,4,4,0,7,480259501001
Bee,1965,321,164,11,159,480259501002
Bee,56,8,10,1,4,480259502011
Bee,741,94,70,7,96,480259502013
Bee,625,83,57,5,62,480259502021
Bee,1159,130,108,15,125,480259502022
Bee,1553,122,74,10,140,480259502023
Bee,1342,234,163,14,147,480259502024
Bee,839,142,87,11,107,480259503001
Bee,962,110,65,8,87,480259503002
Bee,1094,128,116,14,133,480259503003
Bee,664,90,88,9,68,480259503004
Bee,1003,205,110,11,159,480259503005
Bee,1202,261,109,9,191,480259504001
Bee,957,154,110,12,117,480259504002
Bee,837,117,118,6,41,480259505001
Bee,812,227,72,11,162,480259505002
Bee,883,257,72,6,88,480259505003
Bee,611,232,55,5,71,480259505004
Bee,688,240,49,7,104,480259505005
Bee,1394,221,136,11,127,480259505006
Bee,582,119,67,3,51,480259505007
Bee,2243,361,194,21,214,480259506001
Bee,1,0,0,0,0,481759602002
Bee,1,0,0,0,0,482559703001
Bee,1,0,0,0,0,482559703002
Bee,9,0,0,0,0,482559703003
Bee,3,0,0,0,0,482559703004
Bee,1,0,0,0,0,482559703005
Bee,3,1,0,0,0,482979503002
Bee,2,0,0,0,0,482979504001
Bee,14,3,0,0,2,484090107002
Bee,27,3,4,0,2,484090109001
Bee,2,0,0,0,0,484090109002
Bee,4,0,0,2,1,484090110002
Bee,7,0,0,0,0,484090110003
Bee,1,0,0,0,0,484090112001
Bell,870,0,0,0,0,
Bell,2345,57,24,15,107,480270201001
Bell,2203,74,53,23,97,480270201002
Bell,1187,24,19,11,46,480270201003
Bell,2525,63,48,26,169,480270202011
Bell,5120,243,171,72,457,480270202012
Bell,2714,67,37,19,165,480270202021
Bell,2443,87,41,30,159,480270202022
Bell,1151,32,19,8,50,480270202023
Bell,2935,225,149,35,263,480270203001
Bell,6910,469,320,88,661,480270203002
Bell,738,48,29,10,40,480270204011
Bell,1838,348,143,25,238,480270204012
Bell,2220,373,98,22,225,480270204021
Bell,939,83,51,8,115,480270205001
Bell,1159,175,69,18,136,480270205002
Bell,1096,216,77,18,117,480270205003
Bell,697,76,32,13,71,480270206001
Bell,1082,116,47,18,84,480270206002
Bell,693,46,35,13,91,480270206003
Bell,570,158,26,8,43,480270207011
Bell,673,174,44,3,56,480270207012
Bell,681,157,40,5,38,480270207021
Bell,735,234,36,8,56,480270207022
Bell,934,253,35,18,116,480270208001
Bell,619,252,16,8,71,480270208002
